Document,Section,Heading,Main Question,Rubric Count,Concept Count,QA Score,Warning Count,Warning Codes
Surveys Act,1,Definitions,What definitions are provided in section 1 of Surveys Act?,1,7,95,1,GENERIC_RUBRIC_PROMPT
Surveys Act,2,Establishment of coordinate survey system,What notice requirements are established by section 2 of Surveys Act?,1,1,45,4,AMENDMENT_HISTORY_LEAK;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;AMENDMENT_HISTORY_LEAK
Surveys Act,3,Director of Surveys,What duties does section 3 of Surveys Act impose about director of surveys?,4,2,80,4,GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT
Surveys Act,4,Duties of surveyor re coordinate survey system,What duties does section 4 of Surveys Act impose about duties of surveyor re coordinate survey system?,2,1,40,5,AMENDMENT_HISTORY_LEAK;GENERIC_RUBRIC_PROMPT;GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;AMENDMENT_HISTORY_LEAK
Surveys Act,5,Integrated survey area,What offences or penalties are established by section 5 of Surveys Act?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Surveys Act,6,Integrated survey area plan,What powers or authority are established by section 6 of Surveys Act?,1,2,80,2,MAIN_QUESTION_TOPIC_MISMATCH;CONCEPT_FRAGMENT
Surveys Act,7,Duties of surveyor re integrated survey area,What duties does section 7 of Surveys Act impose about duties of surveyor re integrated survey area?,1,1,95,1,GENERIC_RUBRIC_PROMPT
Surveys Act,8,Survey plan in integrated survey area,What duties does section 8 of Surveys Act impose about survey plan in integrated survey area?,3,2,55,5,GENERIC_RUBRIC_PROMPT;MALFORMED_QUESTION;GENERIC_RUBRIC_PROMPT;QUESTION_MISSING_SUBJECT;GENERIC_RUBRIC_PROMPT
Surveys Act,9,Filing of values of coordinate monuments,What powers or authority are established by section 9 of Surveys Act?,1,1,55,3,MAIN_QUESTION_TOPIC_MISMATCH;AMENDMENT_HISTORY_LEAK;AMENDMENT_HISTORY_LEAK
Surveys Act,10,"Survey plan filed between August 1, 1979, and December 31, 1979",What filing or registration requirements are established by section 10 of Surveys Act?,1,0,100,0,
